Genes,Clinical_Importance_level,Transmissibility_level,Mobility_level,Pathogenic_level,Clinial_Importance_score,Transmissbilitty_score,Mobility_score,Pathogenic_score,Final_Risk_score
trimethoprim-resistant dihydrofolate reductase dfra42,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra34,Marginally Important,Not Defined,Not Defined,Low,0.0,0.0,0.0,7.0,7.0
escherichia coli fabi mutations conferring resistance to isoniazid and triclosan,Marginally Important,Low,Not Defined,Very Low,0.0,6.1,0.0,3.5,9.6
sata,Marginally Important,Low,Not Defined,Very Low,0.0,6.1,0.0,3.5,9.6
nova,Marginally Important,Not Defined,Low,Very Low,0.0,0.0,7.1,3.5,10.6
tmrb,Marginally Important,Very Low,Low,Very Low,0.0,3.05,7.1,3.5,13.65
helicobacter pylori frxa mutation conferring resistance to metronidazole,Important,Not Defined,Not Defined,Very Low,12.2,0.0,0.0,3.5,15.7
fact,Marginally Important,Not Defined,Medium,Very Low,0.0,0.0,14.2,3.5,17.7
sta,Marginally Important,Not Defined,Medium,Very Low,0.0,0.0,14.2,3.5,17.7
nimf,Important,Low,Not Defined,Not Defined,12.2,6.1,0.0,0.0,18.3
nimd,Important,Very Low,Not Defined,Very Low,12.2,3.05,0.0,3.5,18.75
helicobacter pylori rdxa mutation conferring resistance to metronidazole,Important,Not Defined,Not Defined,Low,12.2,0.0,0.0,7.0,19.2
tva(a),Important,Not Defined,Very Low,Very Low,12.2,0.0,3.5,3.5,19.2
dfra23,Marginally Important,Not Defined,High,Not Defined,0.0,0.0,19.7,0.0,19.7
dfra36,Marginally Important,Not Defined,Not Defined,High,0.0,0.0,0.0,19.9,19.9
dfra32,Marginally Important,Not Defined,Medium,Low,0.0,0.0,14.2,7.0,21.2
cmy-125,Highly Important,Not Defined,Not Defined,Not Defined,21.8,0.0,0.0,0.0,21.8
cmy-129,Highly Important,Not Defined,Not Defined,Not Defined,21.8,0.0,0.0,0.0,21.8
cmy-152,Highly Important,Not Defined,Not Defined,Not Defined,21.8,0.0,0.0,0.0,21.8
cmy-24,Highly Important,Not Defined,Not Defined,Not Defined,21.8,0.0,0.0,0.0,21.8
cmy-82,Highly Important,Not Defined,Not Defined,Not Defined,21.8,0.0,0.0,0.0,21.8
qacj,Marginally Important,High,Not Defined,Very Low,0.0,18.3,0.0,3.5,21.8
taea,Important,Very Low,Very Low,Very Low,12.2,3.05,3.5,3.5,22.25
dfrb2,Marginally Important,Not Defined,High,Very Low,0.0,0.0,19.7,3.5,23.2
dfra11,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
dfra13,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
dfra35,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
dfra39,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
dfra9,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
dfrb5,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
escherichia coli gyra with mutation conferring resistance to triclosan,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
salmonella enterica gyra with mutation conferring resistance to triclosan,Marginally Important,Not Defined,Not Defined,Very High,0.0,0.0,0.0,24.8,24.8
plasmid-encoded cat (pp-cat),Highly Important,Very Low,Not Defined,Not Defined,21.8,3.05,0.0,0.0,24.85
qacg,Marginally Important,Very High,Not Defined,Very Low,0.0,21.6,0.0,3.5,25.1
catu,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
cmla8,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
cmy-10,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
cmy-112,Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
cmy-132,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
cmy-25,Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
cmy-39,Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
cmy-72,Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
cmy-98,Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
fexb,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
otr(c),Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
rm3,Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
streptomyces lividans otr(a),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tet(o/32/o),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tet(o/w/32/o),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tet(o/w/o),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tet(w/32/o),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tet(x5),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tet(x6),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tet(z),Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
tetb(46),Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
thft,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
thin-b,Highly Important,Not Defined,Very Low,Not Defined,21.8,0.0,3.5,0.0,25.3
vath,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
vgbc,Highly Important,Not Defined,Not Defined,Very Low,21.8,0.0,0.0,3.5,25.3
sat-2,Marginally Important,Not Defined,High,Low,0.0,0.0,19.7,7.0,26.7
qacl,Marginally Important,Very Low,Not Defined,Very High,0.0,3.05,0.0,24.8,27.85
txr,Highly Important,Very Low,Not Defined,Very Low,21.8,3.05,0.0,3.5,28.35
aac(6')-29a,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
aac(6')-29b,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
aac(6')-32,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
act-42,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
act-52,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
act-62,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
act-72,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
act-82,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-120,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-121,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-122,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-123,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-125,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-152,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-162,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-172,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-182,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-192,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-203,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-208,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-212,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-213,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-214,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-215,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-216,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-217,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-218,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-219,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-222,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-223,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-224,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-226,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-227,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-228,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-229,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-23,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-232,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-233,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-234,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-235,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-236,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-237,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-238,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-240,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-241,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-242,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-243,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-244,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-246,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-247,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-248,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-249,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-254,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-29,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-32,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-52,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
adc-92,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
afm-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
bkc-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
cepa-29,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
cmh-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-125,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-127,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-132,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-182,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-206,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-211,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-216,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-224,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-226,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-229,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-232,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ctx-m-236,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
dha-12,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
dha-25,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
dha-26,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
dha-27,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
dha-28,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ebr-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
"escherichia coli acrab-tolc with acrr mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
escherichia coli acrab-tolc with marr mutations conferring resistance to ciprofloxacin and tetracycline,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ges-12,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ges-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ges-26,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
imp-22,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
imp-23,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
imp-62,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ind-2a,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
kpc-123,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
kpc-23,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
kpc-25,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
kpc-27,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
kpc-29,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
kpc-82,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
lut-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mal-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-1.26,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-1.27,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-1.28,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-10.2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-2.3,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-3.2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-3.20,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-3.24,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-3.26,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-3.28,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mcr-4.2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mir-20,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mir-21,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mir-22,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
mor-2,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ndm-22,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ndm-24,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
ndm-29,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
okp-b-23,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-120,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-121,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-123,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-125,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-128,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-132,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-169,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-172,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-201,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-207,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-208,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-217,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-219,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-223,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-225,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-231,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-241,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-242,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-245,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-253,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-254,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-256,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-260,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-261,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-262,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-263,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-266,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-28,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-284,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-295,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-297,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-298,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-312,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-322,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-352,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-402,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-412,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-424,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-425,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-426,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-429,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-542,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-592,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-623,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-625,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-627,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-629,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-692,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-812,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-825,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-827,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-902,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
oxa-920,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-112,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-120,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-121,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-122,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-123,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-124,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-125,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-127,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-129,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-142,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-162,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-172,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-176,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-182,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-20,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-204,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-211,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-214,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-216,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-21b,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-22,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-223,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-226,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-23,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-235,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
pdc-238,Critically Important,Not Defined,Not Defined,Not Defined,28.4,0.0,0.0,0.0,28.4
